Species,10018_1#1
Total,396983
Unclassified,276219
"Actinobacillus pleuropneumoniae serovar 3",16405
"Actinobacillus pleuropneumoniae serovar 3 str. JL03",16005
"Actinobacillus pleuropneumoniae serovar 7",7885
"Actinobacillus pleuropneumoniae serovar 7 str. AP76",7485
"Actinobacillus pleuropneumoniae serovar 5",4340
"Actinobacillus pleuropneumoniae serovar 5b str. L20",4040
"Actinobacillus suis H91-0380",790
"Haemophilus parainfluenzae T3T1",435
"Haemophilus influenzae R2846",142
"Haemophilus influenzae R2866",132
"Bibersteinia trehalosi USDA-ARS-USMARC-192",20
"Haemophilus influenzae 10810",17
"Mannheimia succiniciproducens MBEL55E",4
"Gallibacterium anatis UMN179",1
"Mannheimia haemolytica USDA-ARS-USMARC-185",1
